Link,Name,Brand,DiscountedPrice,DiscountPercentage,SoldQuantity,BatteryCapacity,FrontCamera,BackCamera,GPU,ChargingPort,RAM,Resolution,ROM,ScreenSize,WarrantyDuration,Rating,NumberOfReview,Description,Platform
https://cellphones.com.vn/xiaomi-redmi-note-11-pro.html,Xiaomi Redmi Note 11 Pro,Xiaomi,5.790.000đ,Giảm 23%,NaN,5000mAh (typ),16MP f/2.4,"Camera góc rộng: 108 MP, f/1.9, PDAF
Camera góc siêu rộng: 8 MP
Camera Tele: 2 MP, f/2.4
Camera chân dung: 2MP f/2.4","Octa-core CPU, up to 2.05GHz",NaN,8 GB,1080 x 2400 pixels (FullHD+),128 GB,6.67 inches,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất",4.8/5,32 đánh giá,"Hiệu năng ấn tượng trong tầm giá - Chip MediaTek Helio G96 mạnh mẽ cùng 8GB RAM
Tận hưởng không gian giải trí sống động - Màn hình AMOLED 6.67"", FHD+ sắc nét, chân thực
Ghi lại trọn vẹn mọi khoảng khắc - Cụm 4 camera sau lên đến 108MP, đa dạng chế độ chụp
Năng lượng tràn đầy cho cả ngày dài - Viên pin khủng 5000mAh, sạc nhanh 67W",CellphoneS
https://cellphones.com.vn/samsung-galaxy-s24.html,Samsung Galaxy S24 8GB 256GB,Samsung,16.790.000đ,Giảm 27%,NaN,4000 mAh,"12 MP, f/2.2","Camera chính 50 MP, f/1.8
Camera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3x
Camera góc siêu rộng: 12 MP, f/2.2, 120˚","1 nhân 3.3 GHz, 5 nhân 3.2 GHz & 2 nhân 2.3 GHz",NaN,8 GB,1080 x 2340 pixels (FullHD+),256 GB,6.2 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,6 đánh giá,"Khai phá tiềm năng sáng tạo không giới hạn với tính năng AI - Phiên dịch cuộc gọi, trợ lí chỉnh ảnh
Sắc nét từng chi tiết - Camera 50MP với với công nghệ ProVisual, chụp đêm và siêu thu phóng
Pin tối ưu thông minh cho cả ngày tràn đầy năng lượng - Viên pin 4000mAh cho phép bạn xem video liên tục đến 29 giờ
Nâng cấp màn hình trải nghiệm tuyệt đỉnh - Màn hình 6.2"" inch Dynamic AMOLED 2X cùng tần số quét 120Hz",CellphoneS
https://cellphones.com.vn/iphone-12-pro.html,iPhone 12 Pro 128GB I Chính hãng VN/A,Apple,24.990.000đ,Giảm 7%,NaN,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom
12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""
TOF 3D LiDAR scanner (depth)",Hexa-core,NaN,6 GB,1170 x 2532 pixels,"128 GB",6.1 inches,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",5.0/5,54 đánh giá,"Mạnh mẽ, siêu nhanh với chip A14, RAM 6GB, mạng 5G tốc độ cao
Rực rỡ, sắc nét, độ sáng cao - Màn hình OLED cao cấp, Super Retina XDR hỗ trợ HDR10, Dolby Vision
Chụp ảnh siêu đỉnh - Night Mode , thuật toán Deep Fusion, Smart HDR 3, camera LiDar
Bền bỉ vượt trội - Kháng nước, kháng bụi IP68, mặt lưng Ceramic Shield",CellphoneS
https://cellphones.com.vn/samsung-galaxy-a34.html,Samsung Galaxy A34 5G 8GB 128GB,Samsung,7.090.000đ,Giảm 16%,NaN,5.000 mAh,"Camera góc rộng: 13MP, f/2.2, 1/3.1"", 1.12µm","Camera góc rộng: 48MP, f/1.8, 26mm , 1/2.0"", 0.8µm, PDAF, OIS
Camera góc siêu rộng: 8MP, f/2.2, 123, 1/4.0"", 1.12µm
Camera macro: 5MP, f/2.4",2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,NaN,8 GB,1080 x 2340 pixels (FullHD+),128 GB,6.6 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",0/5,0 đánh giá,"Thiết kế thu hút mọi góc nhìn với mặt lưng tráng gương cùng 3 gam màu hiện đại
Thoả sức chụp ảnh cùng cụm 3 camera chất lượng có độ phân giải lên đến 48 MP
Màn hình Super AMOLED tràn viền vô cực mang đến không gian hiển thị tuyệt vời
Cân mọi tác vụ với chip Dimensity 1080 kết hợp cùng RAM 8 GB và ROM 128 GB",CellphoneS
https://cellphones.com.vn/redmi-k50-gaming-edition.html,Redmi K50 Gaming Edition,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,1 đánh giá,NaN,CellphoneS
https://cellphones.com.vn/apple-iphone-xr-64-gb-chinh-hang-vn.html,iPhone XR 64GB I Chính hãng VN/A,Apple,11.990.000đ,NaN,NaN,2942mAh,7MP,12MP,Hexa-core,NaN,3 GB,1792 x 828 pixel,64 GB,6.1 inches,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",5.0/5,23 đánh giá,"Thiết kế cao cấp tinh tế - 2 mặt kính, khung viền kim loại
Hình ảnh sắc nét, màu sắc chân thực với màn hình Retina, công nghệ True Tone.
Chơi game thả ga với chip A12 Bionic 6 nhân, RAM 3GB
Âm thanh lớn, sống động với 2 loa kép
Chụp ảnh xóa phông chuyên nghiệp chỉ với 1 camera đơn 12MP",CellphoneS
https://cellphones.com.vn/meizu-20.html,Meizu 20,Hãng khác,Giá Liên Hệ,NaN,NaN,4700 mAh,"Camera góc rộng: 32 MP, f/2.5","Camera góc rộng: 50 MP, f/1.9, 24mm, 1/1.56"", PDAF, OIS
Camera góc siêu rộng: 16 MP, f/2.4, 16mm, 122˚
5 MP, f/2.4",1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,NaN,12 GB,1080 x 2408 pixels,128 GB,6.55 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",NaN,NaN,NaN,CellphoneS
https://cellphones.com.vn/vivo-y36.html,vivo Y36 8GB 128GB,vivo,4.990.000đ,Giảm 4%,NaN,5.000 mAh,"16 MP, f/2.45","Camera chính: 50 MP, f/1.8
Camera phụ: 2 MP, f/2.4",4 nhân 2.4 GHz & 4 nhân 1.9 GHz,NaN,8 GB,1080 x 2388 pixels,128 GB,6.64 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.7/5,6 đánh giá,"Vẻ ngoài đơn giản tạo nên sức hút - Thiết kế thời thượng so với màn hình giọt nước trước đó.
Màn hình Full HD+ - Hình ảnh hiển thị sắc nét, giúp bạn chiêm ngưỡng những bộ phim, chơi game tốt hơn.
Snapdragon 680 cùng pin 5000 mAh - Đủ sức sử dụng các tác vụ như lướt web, xem phim hay chơi game cấu hình tầm trung.
Pin trâu cho thời gian dùng lâu - dung lười dùng sử dụng thoải mái cả một ngày dài.",CellphoneS
https://cellphones.com.vn/samsung-galaxy-s20-fe.html,Samsung Galaxy S20 FE 256GB,Samsung,7.200.000đ,Giảm 42%,NaN,"Li-Po 4500 mAh, sạc nhanh 25W, sạc không dây cho các thiết bị ngoại vi 5.4W","32 MP, f/2.0, AF","Camera chính: 12 MP, f/1.8
Camera tele: 8 MP, f/2.0, zoom quang 3x
Camera góc siêu rộng: 12 MP, f/2.2",8 nhân (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),NaN,8 GB,1080 x 2400 pixels (FullHD+),"256 GB",6.5 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.8/5,63 đánh giá,"Không gian giải trí bất tận - Màn hình Super Amoled 6.5"", FullHD, HDR10+, 120Hz
Hiệu năng mạnh mẽ - Chip Snapdragon 865, chuẩn bộ nhớ UFS 3.1
Bừng sáng mọi khung hình - Camera 12MP hỗ trợ quay phim 8K, zoom quang 3X
Năng lượng cho cả ngày dài - Viên pin lớn 4500mAh, sạc nhanh 25W",CellphoneS
https://cellphones.com.vn/tecno-spark-20.html,TECNO SPARK 20 8GB 128GB,Tecno,3.050.000đ,Giảm 13%,NaN,5.000 mAh,32 MP,"50MP, f/1.6 | PDAF | 6P",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),NaN,8GB + Mở rộng 8GB,720 x 1612 (HD+),128 GB,6.56 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.8/5,10 đánh giá,"Vi xử lý MediaTek Helio G85 thoải mái trải nghiệm.
Nâng tầm trải nghiệm nhiếp ảnh với cụm camera 50MP.
Kích thước lên tới 6.56 inch cùng tấm nền LCD hiện đại cho chất lượng hiển thị rõ ràng, chân thực trong từng khung hình.
Viên pin 5000 mAh, cung cấp trải nghiệm sử dụng suốt ngày dài.",CellphoneS
https://cellphones.com.vn/samsung-galaxy-m34-5g.html,Samsung Galaxy M34 5G 8GB 128GB,Samsung,5.890.000đ,Giảm 26%,NaN,6000 mAh,"Camera góc rộng: 13 MP, f/2.2","Camera góc rộng: 50 MP, f/1.8, PDAF, OIS
Camera góc siêu rộng:8 MP, f/2.2, 120˚
2 MP, f/2.4",2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,NaN,8 GB,1080 x 2340 pixels (FullHD+),128 GB,6.5 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.8/5,15 đánh giá,"Nâng cao hiệu suất của bạn với bộ xử lý cực nhanh Exynos 1280 - 5nm.
Công nghệ Voice Focus - Cuộc gọi video và âm thanh của bạn luôn được rõ ràng hơn.
Pin cực khỏe 6000mAh cho bạn thoải mái sử dụng cả ngày dài.
Thiết kế sang trọng, sở hữu những gam màu thời thượng khơi dậy những ngày mới của bạn.",CellphoneS
https://cellphones.com.vn/samsung-galaxy-z-flip-4.html,Samsung Galaxy Z Flip4 128GB,Samsung,11.190.000đ,Giảm 53%,NaN,3700 mAh,"10 MP, f/2.4","Camera góc rộng: 12 MP, f/1.8, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 123˚","1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz",NaN,8 GB,1080 x 2640 pixels,128 GB,6.7 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,3 đánh giá,"Ngoại hình thời trang - cầm nắm cực sang với thiết kế gập vỏ sò độc đáo
Công nghệ màn hình hàng đầu đến từ Samsung - 6.7 inch, tấm nền Dynamic AMOLED 2X
Trang bị camera chất lượng - Bộ đôi camera có cùng độ phân giải 12 MP, chống rung, chụp đêm
Hiệu năng mạnh mẽ đến từ dòng chip cao cấp của Qualcomm - Snapdragon 8+ Gen 1",CellphoneS
https://cellphones.com.vn/realme-gt-2-pro.html,Realme GT2 Pro,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,4.500 mAh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.43 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",NaN,NaN,NaN,CellphoneS
https://cellphones.com.vn/xiaomi-redmi-k50.html,Xiaomi Redmi K50,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,5500 mAh,Camera gốc rộng: 20 MP,"Camera gốc rộng: 48 MP, PDAF, OIS
Camera cực rộng: 8 MP, 119˚
Camera Macro: 2 MP, f/2.4","4x2,85 GHz Cortex-A78 & 4x2,0 GHz Cortex-A55",NaN,8 GB,3200 x 1440 pixel,256 GB,6.66 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",NaN,NaN,NaN,CellphoneS
https://cellphones.com.vn/dien-thoai-infinix-gt-20-pro.html,Infinix GT 20 Pro 12GB 256GB,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,5000mAh,32 MP,108MP+2MP+2MP,NaN,NaN,12 GB,NaN,256 GB,6.78 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",NaN,NaN,NaN,CellphoneS
https://cellphones.com.vn/iphone-13-pro-256gb.html,iPhone 13 Pro 256GB | Chính hãng VN/A,Apple,24.490.000đ,Giảm 9%,NaN,3095 mAh,"12MP, ƒ/2.2","Camera góc rộng: 12MP, ƒ/1.5
Camera góc siêu rộng: 12MP, ƒ/1.8
Camera tele : 12MP, /2.8",3.22 GHz,NaN,6 GB,1170 x 2532 pixels,256 GB,6.1 inches,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",5.0/5,2 đánh giá,"Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ, hỗ trợ mạng 5G tốc độ cao
Không gian hiển thị sống động - Màn hình 6.1"" Super Retina XDR độ sáng cao, sắc nét
Trải nghiệm điện ảnh đỉnh cao - Cụm 3 camera 12MP, hỗ trợ ổn định hình ảnh quang học
Tối ưu điện năng - Sạc nhanh 20 W, đầy 50% pin trong khoảng 30 phút",CellphoneS
https://cellphones.com.vn/xiaomi-14t-xanh-duong.html,Xiaomi 14T - Xanh dương,NaN,14.990.000đ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CellphoneS
https://cellphones.com.vn/samsung-galaxy-z-fold-6-1tb.html,Samsung Galaxy Z Fold6 12GB 1TB,Samsung,45.990.000đ,Giảm 16%,NaN,4400 mAh,"Camera bên ngoài:10 MP, f/2.2
Camera bên trong: 4 MP, F1.8","Camera góc rộng: 50.0 MP, f/1.8, Thu phóng quang học 2x
Camera chụp góc siêu rộng: 12.0 MP, f/2.2
Camera ống kính tele: 10.0 MP, f/2.4, Thu phóng Quang học 3x","8 nhân 3.39 GHz, 3.1GHz, 2.9GHz, 2.2GHz",NaN,12 GB,2160 x 1856 (QXGA+),1 TB,7.6 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",NaN,NaN,"Màn hình chính Dynamic AMOLED 2X 7.6 inch cho trải nghiệm giải trí, làm việc đỉnh cao.
Chip Snapdragon 8 Gen 3 cho tốc độ xử lý siêu nhanh, đáp ứng tốt mọi nhu cầu sử dụng.
Camera chính 50.0 MP ghi lại những khoảnh khắc đẹp với độ chi tiết, màu sắc ấn tượng.
Pin 4400mAh cho phép bạn sử dụng điện thoại cả ngày dài mà không cần lo lắng về việc hết pin.",CellphoneS
https://cellphones.com.vn/dien-thoai-huawei-pura-70-ultra.html,Huawei Pura 70 Ultra,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,"5,050 mAh",8MP,"Camera chính: 50MP
Ống kính khẩu độ thay đổi f/1.4 - 4.0
Camera góc siêu rộng: 12.5MP
Camera tele: 48MP",NaN,NaN,NaN,NaN,"NaN",6.6 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.0/5,1 đánh giá,NaN,CellphoneS
https://cellphones.com.vn/redmi-note-12-turbo.html,Xiaomi Redmi Note 12 Turbo,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,5000 mAh,Camera góc rộng: 16 MP,"Camera góc rộng: 64 MP, 1/2"", 0.7µm, PDAF, OIS
Camera góc siêu rộng: 8MP, f/2.2, 120˚, 1/4"", 1.12µm
Camera Macro: 2 MP, f/2.4",1x2.91 GHz Cortex-A710 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510,NaN,8 GB,1080 x 2400 pixels (FullHD+),256 GB,6.67 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,20 đánh giá,NaN,CellphoneS
https://cellphones.com.vn/google-pixel-7.html,Google Pixel 7,Tin đồn - Mới ra,Giá Liên Hệ,NaN,NaN,4355 mAh,"Camera siêu rộng; 10,8 MP, f/2.2, 21mm , 1 / 3,1 "", 1,22µm","Camera rộng:50MP, f/1.9, 25mm, 1.2µm, PDAF đa hướng, Laser AF, OIS
Camera siêu rộng; 12MP, f/2.2, 114˚, 1.25µm","2x2,85 GHz Cortex-X1 & 2x2,35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55",NaN,8 GB,1080 x 2400 pixels (FullHD+),128 GB,6.3 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",NaN,NaN,NaN,CellphoneS
